uid,gender,status,statusUpdatedAt,statusPrevious,age,areaCode,state,recurrence,activation date,end portability date,current package
0TROdzR2jkOTgy3TNJjEDTD8MYk1,masculino,active,3/3/2021,processingSubscription,20,12,SP,monthly,11/3/2020,11/6/2020,customPackage
0TxOGLWQbcXAX36p1bLBQN38D303,masculino,paused,1/4/2021,canceled,33,62,GO,monthly,12/5/2020,,customPackage
0U9t95DcO2WLpWRocQyX0F4Yma42,masculino,active,3/2/2021,processingSubscription,39,19,SP,monthly,2/3/2021,,customPackage
0UB1cQEF8nhGVJ8ZU24f56vCSEh2,não binário,active,2/15/2021,processingSubscription,28,11,SP,monthly,12/15/2020,,customPackage
0X5yZnt4ZxaKjgrm4B0HGt1PTup1,masculino,active,3/5/2021,processingSubscription,23,11,SP,weekly,7/28/2020,8/1/2020,customPackage
0XbfHmCIgTOiY2bv9X4BVaTGTmu1,masculino,active,3/3/2021,paused,23,11,SP,monthly,11/20/2020,,customPackage
0YCqA2Cfi4UlBTWLCXfdvq015MA2,masculino,active,2/11/2021,processingSubscription,50,11,SP,monthly,8/24/2020,,customPackage
0YkgLd83yUN6qDm0HUyOhrJAy983,masculino,active,2/11/2021,activationComplete,22,19,SP,monthly,2/11/2021,,madePackage-0
0blwXxGS0ENx9PmAWF6K7LuPhtE3,feminino,active,3/4/2021,processingSubscription,23,19,SP,weekly,10/15/2020,,customPackage
0bwzUKHqqjghjOEvwE8YpV9SmuI3,masculino,active,2/25/2021,processingSubscription,27,11,SP,monthly,4/13/2020,,customPackage
0cTB1wgJEAf3zipZpXr1V7nAMZv2,masculino,paused,2/18/2021,paymentFailedSubscription,29,11,SP,weekly,1/8/2021,,customPackage
0dhwXTNlmeekcbivMhqMiYO5eGd2,masculino,canceled,12/31/2020,cancelRequested,26,11,SP,weekly,8/26/2020,8/31/2020,customPackage
0dyvriZforUOijw6xdusivxkEDN2,masculino,canceled,3/1/2021,cancelRequested,23,11,SP,monthly,10/7/2020,10/18/2020,customPackage
0fMNgaHDaZe7FrXTEjclcjPsRX53,masculino,active,2/19/2021,processingSubscription,31,11,SP,monthly,11/19/2020,,customPackage
0gHPXvlWb5glDd3Wr3kv2Ejex3Z2,masculino,active,3/2/2021,processingSubscription,21,18,SP,weekly,1/19/2021,1/22/2021,customPackage
0gWulOhs8bYBNLv5HH3VjaDnVB02,masculino,canceled,12/18/2020,cancelRequested,19,11,SP,weekly,5/13/2020,,customPackage
